day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
224,290,18.59,-9.79,-14.19,-36.0,-416.99,-26.88,643.76,-69.52,1.89,-31.37,-220.0,-17.47,13.91,-94.43,0.0,-199.89
225,290,19.06,-12.73,-13.74,-36.64,-417.16,-27.49,644.79,-69.39,1.92,-31.4,-219.92,-17.47,13.55,-94.45,0.0,-200.15
226,289,18.39,-12.24,-14.55,-38.46,-418.44,-27.32,646.72,-69.32,1.93,-31.47,-220.96,-17.53,13.67,-94.76,0.0,-200.96
227,288,18.17,-12.74,-14.55,-37.05,-417.32,-26.11,644.73,-69.27,1.93,-31.49,-221.32,-17.41,13.78,-93.55,0.0,-201.3
228,288,18.03,-11.48,-14.77,-37.19,-418.13,-25.96,645.63,-69.28,1.95,-31.97,-221.62,-17.4,13.78,-93.56,0.0,-201.55
229,288,17.95,-10.94,-14.82,-37.31,-418.68,-26.21,646.7,-69.32,1.93,-32.2,-221.88,-17.4,13.77,-93.58,0.0,-201.81
230,288,18.89,-11.08,-14.08,-37.96,-418.25,-26.09,646.4,-69.08,1.97,-31.95,-221.96,-17.4,13.76,-93.59,0.0,-202.06
231,288,19.05,-11.31,-14.08,-37.55,-418.29,-28.42,649.21,-69.22,2.01,-31.65,-222.07,-17.39,13.61,-93.59,0.0,-202.5
232,288,18.96,-10.93,-14.15,-38.3,-418.02,-28.99,649.65,-69.26,2.01,-31.43,-221.95,-17.39,13.62,-93.62,0.0,-202.64
233,287,17.98,-13.2,-14.5,-39.26,-417.25,-29.59,650.87,-69.06,2.03,-31.48,-222.39,-17.43,13.43,-92.35,0.0,-204.03
234,286,17.97,-13.41,-14.5,-39.02,-418.2,-29.3,652.61,-69.29,2.01,-31.48,-222.86,-17.48,13.59,-92.68,0.0,-205.11
235,286,18.1,-14.48,-14.41,-39.31,-418.29,-28.85,652.42,-69.25,2.05,-31.42,-223.0,-17.48,13.62,-92.8,0.0,-205.29
236,285,18.11,-15.09,-14.27,-38.51,-418.86,-28.65,653.8,-69.49,2.13,-31.35,-223.18,-17.54,13.73,-93.14,0.0,-206.3
237,285,18.25,-14.44,-14.04,-37.93,-419.33,-28.51,654.12,-69.29,2.18,-31.48,-223.41,-17.55,13.41,-93.19,0.0,-206.29
238,285,18.77,-14.41,-13.93,-38.7,-418.95,-28.1,653.56,-69.17,2.21,-31.27,-223.26,-17.54,13.44,-93.36,0.0,-206.51
239,284,18.19,-15.1,-14.29,-38.37,-419.05,-29.28,655.37,-69.29,2.2,-31.03,-222.84,-17.6,13.28,-93.75,0.0,-207.04
240,283,15.13,-15.23,-16.86,-38.14,-417.8,-30.15,652.05,-69.22,2.13,-30.85,-223.37,-16.84,12.92,-92.56,0.0,-204.1
241,282,15.49,-16.28,-16.64,-38.79,-418.27,-29.59,651.92,-69.51,2.19,-30.94,-223.05,-16.89,13.07,-93.12,0.0,-204.07
242,281,15.9,-16.04,-16.42,-38.79,-418.47,-29.23,653.07,-69.53,2.23,-30.81,-223.42,-16.48,13.19,-93.65,0.0,-205.38
243,281,15.96,-16.39,-16.5,-39.54,-419.12,-30.17,655.02,-69.78,2.23,-30.88,-223.6,-16.47,13.23,-93.85,0.0,-205.73
244,281,15.66,-16.67,-16.46,-40.15,-419.46,-30.9,656.4,-69.68,2.21,-31.06,-223.73,-16.47,13.14,-93.86,0.0,-206.04
245,281,16.01,-17.3,-16.18,-38.3,-419.67,-31.73,657.53,-69.67,2.21,-31.09,-223.71,-16.47,12.92,-93.85,0.0,-206.13
246,281,16.88,-17.03,-15.7,-40.29,-420.09,-29.52,656.14,-69.8,2.21,-31.18,-223.54,-16.56,12.65,-93.87,0.0,-206.53
247,281,17.66,-18.29,-15.01,-39.15,-420.28,-28.11,655.11,-69.72,2.25,-31.4,-223.51,-16.57,12.57,-93.9,0.0,-206.72
248,279,18.98,-18.44,-14.76,-38.27,-420.98,-30.24,660.95,-70.12,2.29,-31.52,-223.71,-16.76,12.77,-93.92,0.0,-209.73
249,278,18.41,-17.91,-15.43,-38.41,-421.14,-31.47,663.5,-70.18,2.32,-31.47,-224.2,-16.75,12.86,-93.71,0.0,-210.9
250,278,18.31,-17.62,-15.36,-37.25,-422.38,-31.54,665.3,-70.2,2.33,-31.73,-224.67,-17.23,12.9,-93.78,0.0,-211.38
